Field.ID	Description	Category	Category_Name
25560	WA_MO_in_tract_medial_lemniscus_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25561	WA_MO_in_tract_posterior_thalamic_radiation_(L)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25562	WA_MO_in_tract_posterior_thalamic_radiation_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25563	WA_MO_in_tract_superior_longitudinal_fasciculus_(L)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25564	WA_MO_in_tract_superior_longitudinal_fasciculus_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25566	WA_MO_in_tract_superior_thalamic_radiation_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25570	WA_L1_in_tract_acoustic_radiation_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25571	WA_L1_in_tract_anterior_thalamic_radiation_(L)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25572	WA_L1_in_tract_anterior_thalamic_radiation_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25578	WA_L1_in_tract_corticospinal_tract_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25579	WA_L1_in_tract_forceps_major	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25580	WA_L1_in_tract_forceps_minor	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25581	WA_L1_in_tract_inferior_fronto-occipital_fasciculus_(L)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25582	WA_L1_in_tract_inferior_fronto-occipital_fasciculus_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25583	WA_L1_in_tract_inferior_longitudinal_fasciculus_(L)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25584	WA_L1_in_tract_inferior_longitudinal_fasciculus_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25585	WA_L1_in_tract_middle_cerebellar_peduncle	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25589	WA_L1_in_tract_posterior_thalamic_radiation_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25590	WA_L1_in_tract_superior_longitudinal_fasciculus_(L)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25591	WA_L1_in_tract_superior_longitudinal_fasciculus_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25592	WA_L1_in_tract_superior_thalamic_radiation_(L)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25593	WA_L1_in_tract_superior_thalamic_radiation_(R)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
25594	WA_L1_in_tract_uncinate_fasciculus_(L)	Diffusion_brain_MRI_dMRI_weighted_means	Diffusion_brain_MRI
